UID,Business Name,Score (1-10),Tier,Vertical(s),Country,Website,FB Page,Phone,Email,WhatsApp,Full Address (HQ),Postal Code,Branch Count,Branches,Page Title,Meta Description,OG Title,OG Description,Google Keywords (count),Meta Spend Range,Meta Ad Count,Sample Ad Copy,Landing Page,First Seen,Notes
dentaldesigns.com.sg,Dental Designs Clinic Singapore,1,COLD,dental,SG,https://dentaldesigns.com.sg,https://www.facebook.com/dentaldesignsclinic/,,,,,,0,,,,,,0,,1,"𝐂𝐫𝐚𝐜𝐤𝐞𝐝 𝐎𝐫 𝐃𝐚𝐦𝐚𝐠𝐞𝐝 𝐓𝐨𝐨𝐭𝐡?
Restore Your Smile With Same Day Crowns In Singapore.

🖥️  3D digital scanning for accuracy
🧪 In-house lab for faster turnaround
✅ 100% metal-free ceramic crowns
 🛡️ 5-year w",,,
dentzzdental.com,Dentzz,1,COLD,dental,,https://dentzzdental.com,https://www.facebook.com/DentzzDental/,,,,,,0,,,,,,0,,1,,,,
drnijam.sg,Dr Nijam Latiff,1,COLD,dental,SG,https://drnijam.sg,https://www.facebook.com/61580169121207/,,,,,,0,,,,,,0,,1,"Is your partner snoring loudly or pauses in breathing at night? It could be sleep apnea, which is common in adults, especially men. You may want to consider a consult with your dentist.",,,
flosmosmile.com,Flosmo,1,COLD,dental,,https://flosmosmile.com,https://www.facebook.com/61566374683208/,,,,,,0,,,,,,0,,2,"🦷 Singapore’s #1 Portable Water Flosser Is Here

✔ Sleek, lightweight, travel-friendly design
✔ Long-lasting battery (charge it once, forget for weeks)
✔ Easy, string-free cleaning for braces & sensit",,,
gplusdental.com.sg,G Plus Dental Center,1,COLD,dental,SG,https://gplusdental.com.sg,https://www.facebook.com/gplusdental/,,,,,,0,,,,,,0,,1,"🦷 𝗔𝗿𝗲 𝗬𝗼𝘂𝗿 𝗚𝘂𝗺𝘀 𝗥𝗲𝗰𝗲𝗱𝗶𝗻𝗴? 
Don't wait for the damage to worsen. If you're experiencing:
🚫 Receding Gum Line
🚫 Tooth Sensitivity
🚫 Plaque Build-Up
🚫 Cavities 

👉 𝗜𝘁'𝘀 𝗧𝗶𝗺𝗲 𝗧𝗼 𝗧𝗮𝗸𝗲 𝗔𝗰𝘁𝗶𝗼𝗻! 
𝗣𝗶𝗻𝗵𝗼𝗹𝗲 𝗦𝘂𝗿𝗴",,,
idem-singapore.com,IDEM Singapore,1,COLD,dental,SG,https://idem-singapore.com,https://www.facebook.com/idemsingapore/,,,,,,0,,,,,,0,,4,"The IDEM 2026 Day 3 conference programme is far from over.

Unpack how diet and the oral microbiome shape systemic health — and how AI is changing the way we act on it, with Charlene Goh. Trace three ",,,
thefloofcompany.com,Kalzyme Singapore,1,COLD,dental,,https://thefloofcompany.com,https://www.facebook.com/61556940170305/,,,,,,0,,,,,,0,,1,"Smelly breath is often caused by dental plaque, not just food.",,,
fb:778703798670629,Korea Dental,1,COLD,dental,,,https://www.facebook.com/61583182492965/,,,,,,0,,,,,,0,,1,"Meeting with Korea's TOP CELEBRITY DENTIST!

28-29 March 2026

RECEIVE 
* Complimentary face-to-face meeting 
* Attractive discounts and offers
* Gift bags worth USD300 for early bird sign-ups 

Exper",,,
meiplusdentalcare.com,Meiplus Dentalcare,1,COLD,dental,SG,https://meiplusdentalcare.com,https://www.facebook.com/61583015987865/,,,,,,0,,,,,,0,,2,Understand the process of restoring your smile with Dental Implants. We incorporate Digital Dentistry into our implant procedures to map out your treatment. Leave your details to arrange a consultatio,,,
portfoliomagsg.com,Portfolio Magazine,1,COLD,dental,,https://portfoliomagsg.com,https://www.facebook.com/portfoliomagsg/,,,,,,0,,,,,,0,,1, ,,,
propertylimbrothers.com,Property Lim Brothers,1,COLD,dental,SG,https://propertylimbrothers.com,https://www.facebook.com/PropertyLimBrothers/,,,,,,0,,,,,,0,,2,"The Botany at Dairy Farm - 2-Bedroom with 678sqft in D23

Nature-led living meets a smart, efficient layout in this 678 sqft 2-bed, 2-bath home at Botany at Dairy Farm. Joan Loh from PropertyLimBrothe",,,
rollingpineapple.sg,Rolling Pineapple - First Aid Training and Ambulance Services,1,COLD,dental,SG,https://rollingpineapple.sg,https://www.facebook.com/Rollingpineapplesg/,,,,,,0,,,,,,0,,1,"Healthcare professionals — staying certified isn’t optional. ✅
This mandatory professional certification must be renewed every 2 years. Don’t let it lapse — complete your renewal with us and ensure yo",,,
obt.zenyum.com,Ruru アシル,1,COLD,dental,,https://obt.zenyum.com,https://www.facebook.com/ashirucosplay/,,,,,,0,,,,,,0,,1,"Save up to $400 off* your new smile.

Click on the link below to find out your suitability by getting your FREE smile check now!

*T&Cs apply",,,
sassymamasg.com,Sassy Mama Singapore,1,COLD,dental,,https://sassymamasg.com,https://www.facebook.com/SassyMamaSingapore/,,,,,,0,,,,,,0,,1,"𝗚𝗲𝘁 𝟮𝟬% 𝗢𝗳𝗳 𝗣𝗶𝗴𝗲𝗼𝗻’𝘀 𝗢𝗿𝗮𝗹 𝗖𝗮𝗿𝗲 𝗥𝗮𝗻𝗴𝗲 𝗙𝗼𝗿 𝗞𝗶𝗱𝘀 𝗙𝗿𝗼𝗺 𝗡𝗲𝘄𝗯𝗼𝗿𝗻 & 𝗨𝗽 𝗧𝗵𝗶𝘀 𝗪𝗼𝗿𝗹𝗱 𝗢𝗿𝗮𝗹 𝗛𝗲𝗮𝗹𝘁𝗵 𝗗𝗮𝘆😬🦷🪥
Co-developed with a pediatric dentist, Pigeon’s oral care range supports your child’s dental health from t",,,
sourceeducation.com.au,Source Education,1,COLD,dental,AU,https://sourceeducation.com.au,https://www.facebook.com/SourceEducationDental/,,,,,,0,,,,,,0,,1,"You get ambushed and have to explain your implant experiences in 1 minute 😅

Hear it straight from Dr Jonathan as he breaks down his experiences and what you can expect in Singapore this April 🇸🇬🦷
Fou",,,
sozodental.com,Sozo Dental Clinic,1,COLD,dental,,https://sozodental.com,https://www.facebook.com/sozodental/,,,,,,0,,,,,,0,,2,"Nafas bau, gusi berdarah, gigi goyang? Ini akibatnya kalau karang gigi dibiarkan menumpuk! 😱 Solusinya gampang banget: SCALING RUTIN!

✨ Promo Spesial Scaling CUMA Rp100.000-an ✨
✅ Gigi bersih maksima",,,
tdental.com.my,T Dental Clinic,1,COLD,dental,MY,https://tdental.com.my,https://www.facebook.com/tdentaljb/,,,,,,0,,,,,,0,,1,"🦷T Dental Clinic 的新分店正式在 #JBTown坡底 营业啦! 
找一个让你放心微笑的牙医团队, 就来 JB Taman Abad 的 T Dental！

📌 开张期间限定体验优惠：

✨ 洗牙护理（Scaling & Polishing）
✅清洁牙垢 ✅清除牙缝 ✅ 预防牙龈不适
⏰ 限时体验价：*RM109*

✨ 牙齿护理双套餐
✅洁牙 + 亮白护理 ✅ 适合在意笑容的你
",,,
tagdentalclinics.com,TAG Dental Clinic,1,COLD,dental,MY,https://tagdentalclinics.com,https://www.facebook.com/tagdentalclinic/,,,,,,0,,,,,,0,,1,Struggling with missing teeth? Dental implants at TAG Dental Clinic Johor Bahru can change your life. Book now!,,,
tsddental.com,TSD Dental Group,1,COLD,dental,,https://tsddental.com,https://www.facebook.com/TSDdentalgroup/,,,,,,0,,,,,,0,,1,"At TSD Dental Group, we believe dental visits should be simple, stress-free, and fit into your busy day.

Our clinic is built around what matters to you—comfort, convenience, and care you can trust.

",,,
womensweekly.com.sg,The Singapore Women's Weekly,1,COLD,dental,SG,https://womensweekly.com.sg,https://www.facebook.com/thesingaporewomensweekly/,,,,,,0,,,,,,0,,1,"A doctor, a dentist‑in‑training and a future vet.",,,
fb:979881698827608,Villaceran Dental Clinic,1,COLD,dental,PH,,https://www.facebook.com/100064095272954/,,,,,,0,,,,,,0,,1,"Experience Compassionate, Expert Dental Care at Villaceran Dental Clinic 🦷💙

At Villaceran Dental Clinic, we believe that everyone deserves a healthy, confident smile. Our experienced team is committe",,,
